date,weather_code,weather_code_description,temperature_2m_max,temperature_2m_max_fahrenheit,temperature_2m_min,temperature_2m_min_fahrenheit,temperature_2m_mean,temperature_2m_mean_fahrenheit,apparent_temperature_max,apparent_temperature_max_fahrenheit,apparent_temperature_min,apparent_temperature_min_fahrenheit,precipitation_sum,precipitation_sum_inches,rain_sum,rain_sum_inches,snowfall_sum,snowfall_sum_inches,precipitation_hours,windspeed_10m_max,windspeed_10m_max_mph,windgusts_10m_max,windgusts_10m_max_mph,wind_direction_10m_dominant,wind_direction_10m_dominant_cardinal,wind_direction_10m_dominant_baseball
2020/07/24,2,Partly cloudy,25.1,77.2,18.7,65.7,22.3,72.1,28.7,83.7,20.3,68.5,0.0,0.000,0.0,0.000,0.0,0.000,0.0,16.4,10.2,31.0,19.3,19,N,In from Center
2020/07/25,3,Overcast,29.1,84.4,19.1,66.4,25.0,77.0,32.4,90.3,21.3,70.3,0.0,0.000,0.0,0.000,0.0,0.000,0.0,17.1,10.6,31.0,19.3,170,S,Out to Left Center Field
2020/07/26,61,Slight rain,32.5,90.5,22.7,72.9,27.6,81.7,36.0,96.8,24.9,76.8,4.0,0.157,4.0,0.157,0.0,0.000,4.0,23.7,14.7,38.2,23.7,223,SW,Out to Right Center Field
2020/07/31,3,Overcast,24.0,75.2,19.2,66.6,21.8,71.2,25.6,78.1,19.1,66.4,0.0,0.000,0.0,0.000,0.0,0.000,0.0,22.3,13.9,37.8,23.5,21,N,In from Center
2020/08/01,61,Slight rain,23.6,74.5,20.4,68.7,22.2,72.0,25.9,78.6,21.5,70.7,4.7,0.185,4.7,0.185,0.0,0.000,10.0,16.7,10.4,26.3,16.3,24,NE,In from Center
2020/08/02,61,Slight rain,26.7,80.1,19.9,67.8,22.4,72.3,29.6,85.3,20.8,69.4,10.6,0.417,10.6,0.417,0.0,0.000,13.0,18.5,11.5,37.1,23.1,285,W,Cross from Left Field Corner
2020/08/03,51,Light drizzle,20.6,69.1,18.0,64.4,19.2,66.6,22.1,71.8,15.2,59.4,1.8,0.071,1.8,0.071,0.0,0.000,13.0,33.7,20.9,55.1,34.2,351,N,In from Left Center Field
2020/08/04,51,Light drizzle,19.5,67.1,14.9,58.8,18.0,64.4,17.3,63.1,14.0,57.2,0.4,0.016,0.4,0.016,0.0,0.000,4.0,28.5,17.7,45.0,28.0,12,N,In from Center
2020/08/13,3,Overcast,25.4,77.7,19.7,67.5,22.9,73.2,27.3,81.1,21.8,71.2,0.0,0.000,0.0,0.000,0.0,0.000,0.0,16.3,10.1,29.9,18.6,67,NE,In from Right Field
2020/08/14,0,Clear sky,26.5,79.7,20.0,68.0,23.4,74.1,29.8,85.6,21.9,71.4,0.0,0.000,0.0,0.000,0.0,0.000,0.0,18.0,11.2,33.5,20.8,43,NE,In from Right-Center Field
2020/08/15,53,Moderate drizzle,27.8,82.0,20.1,68.2,23.6,74.5,32.0,89.6,21.9,71.4,1.4,0.055,1.4,0.055,0.0,0.000,3.0,19.9,12.4,30.2,18.8,17,N,In from Center
2020/08/16,51,Light drizzle,24.3,75.7,18.9,66.0,22.0,71.6,25.4,77.7,17.7,63.9,0.1,0.004,0.1,0.004,0.0,0.000,1.0,23.0,14.3,36.7,22.8,359,N,In from Left Center Field
2020/08/17,3,Overcast,25.5,77.9,18.9,66.0,22.8,73.0,27.1,80.8,18.8,65.8,0.0,0.000,0.0,0.000,0.0,0.000,0.0,16.9,10.5,25.2,15.7,307,NW,In from Left Field
2020/08/17,3,Overcast,25.5,77.9,18.9,66.0,22.8,73.0,27.1,80.8,18.8,65.8,0.0,0.000,0.0,0.000,0.0,0.000,0.0,16.9,10.5,25.2,15.7,307,NW,In from Left Field
2020/08/18,3,Overcast,22.1,71.8,18.5,65.3,21.2,70.2,23.5,74.3,18.1,64.6,0.0,0.000,0.0,0.000,0.0,0.000,0.0,23.9,14.9,40.0,24.9,54,NE,In from Right-Center Field
2020/08/19,0,Clear sky,23.6,74.5,16.1,61.0,20.5,68.9,23.6,74.5,15.8,60.4,0.0,0.000,0.0,0.000,0.0,0.000,0.0,22.8,14.2,38.9,24.2,82,E,In from Right Field
2020/08/19,0,Clear sky,23.6,74.5,16.1,61.0,20.5,68.9,23.6,74.5,15.8,60.4,0.0,0.000,0.0,0.000,0.0,0.000,0.0,22.8,14.2,38.9,24.2,82,E,In from Right Field
2020/08/21,3,Overcast,28.2,82.8,17.4,63.3,23.0,73.4,29.5,85.1,17.5,63.5,0.0,0.000,0.0,0.000,0.0,0.000,0.0,14.2,8.8,27.4,17.0,190,S,Out to Left Center Field
2020/08/22,2,Partly cloudy,30.2,86.4,17.4,63.3,24.1,75.4,30.3,86.5,18.2,64.8,0.0,0.000,0.0,0.000,0.0,0.000,0.0,18.6,11.6,30.2,18.8,214,SW,Out to Right Center Field
2020/08/23,51,Light drizzle,30.2,86.4,19.2,66.6,24.7,76.5,32.9,91.2,20.1,68.2,0.3,0.012,0.3,0.012,0.0,0.000,1.0,22.8,14.2,34.2,21.3,201,S,Out to Dead Center Field
